pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
P53_Pathway,4,104,3504.963718464336,2282.917556007563,-1222.0461624567736,1337.656459568227
P53_Pathway,5,104,3673.1884138485543,2410.004721911411,-1263.183691937144,1327.6606605957147
P53_Pathway,6,103,3693.00976028459,2528.0929441126214,-1164.9168161719685,1212.3283611013483
P53_Pathway,7,104,3601.0010166375073,2638.09532109924,-962.9056955382677,1111.8294737099159
P53_Pathway,8,104,3616.9285841423184,2757.639846989933,-859.2887371523847,965.5562044383497
P53_Pathway,9,104,3671.8755508234094,2927.843197862131,-744.0323529612783,915.6271936509258
P53_Pathway,10,104,3814.8494376832346,3222.0001919132987,-592.8492457699359,733.9463563643042
DNA_Damage_Response,1,104,1806.43797399958,1197.7095348213054,-608.7284391782749,1106.423679944798
DNA_Damage_Response,2,104,2566.878535089533,1758.62308283936,-808.2554522501731,1359.897169471255
DNA_Damage_Response,3,104,3148.637952573482,2064.011709876016,-1084.6262426974656,1373.5124698245088
DNA_Damage_Response,4,104,3218.8090828900176,2287.6677969438733,-931.1412859461451,1186.8312060362678
DNA_Damage_Response,5,104,3498.0579933130725,2462.8275671159913,-1035.230426197082,1241.247502909424
DNA_Damage_Response,6,103,3510.450191023935,2638.568032975741,-871.8821580481944,1165.88957061213
DNA_Damage_Response,7,104,3596.2253323450177,2824.6693224936516,-771.5560098513665,1017.6468766928563
DNA_Damage_Response,8,104,3694.0804995306235,3040.001410615682,-654.0790889149416,847.7102413148149
DNA_Damage_Response,9,104,3972.228155908454,3277.6193635688564,-694.6087923395982,867.0197331474794
DNA_Damage_Response,10,104,3940.3910419435656,3711.31982847773,-229.07121346583565,617.8977894808596
Complement,1,104,-593.6174403843388,-2769.744335356755,-2176.1268949724163,2228.0355032405664
Complement,2,104,165.21637008775002,-2226.0922509637367,-2391.308621051487,2471.6364109923834
Complement,3,104,524.6841457325337,-1874.9471077903834,-2399.631253522917,2494.747138736849
Complement,4,104,678.560863326941,-1607.7775911285867,-2286.3384544555274,2358.2585794163824
Complement,5,104,711.5224867464917,-1376.387985439281,-2087.9104721857725,2199.961976159074
Complement,6,103,946.6427853894454,-1133.1451032103473,-2079.7878885997934,2220.3668402462326
Complement,7,104,1144.7923374289953,-810.8643399926425,-1955.656677421638,2079.481734402423
Complement,8,104,1196.4099057801936,-445.7853851271712,-1642.1952909073646,1857.5389788450932
Complement,9,104,1017.3122462141247,19.764634199852637,-997.547612014272,1573.5907202037913
Complement,10,104,1430.2293656184631,1045.4293481252364,-384.80001749322696,1103.7919693167985
Coagulation,1,104,-1042.6368607215009,-1507.6103417662225,-464.9734810447216,659.9833175634186
Coagulation,2,104,-897.8817115360949,-1226.7685388947634,-328.88682735866837,538.630266242157
